Latitude,Longitude,Stop Name,Stop Status
-73.919289,40.69232,GATES AV/EVERGREEN AV,at stop
-73.959023,40.685245,GATES AV/CLASSON AV,at stop
-73.924313,40.689236,GATES AV/RALPH AV,at stop
-73.990553,40.693422,CADMAN PLZ W/MONTAGUE ST,at stop
-73.987832,40.691651,FULTON ST/SMITH ST,approaching
-73.920484,40.691104,GATES AV/BUSHWICK AV,approaching
-73.921144,40.690427,GATES AV/BUSHWICK AV,approaching
-73.926232,40.689017,GATES AV/PATCHEN AV,approaching
-73.990938,40.696185,Tillary St (not used),approaching
-73.943314,40.687052,GATES AV/TOMPKINS AV,approaching
-73.988614,40.69196,JORALEMON ST/COURT ST,< 1 stop away
-73.95933,40.685479,GREENE AV/CLASSON AV,< 1 stop away
-73.989002,40.695329,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
