Latitude,Longitude,Stop Name,Stop Status
-73.950245,40.680428,FULTON ST/NOSTRAND AV,at stop
-73.949957,40.682274,NOSTRAND AV/HANCOCK ST,at stop
-73.947144,40.68026,FULTON ST/NEW YORK AV,at stop
-73.950772,40.666941,NOSTRAND AV/CARROLL ST,at stop
-73.944888,40.616317,NOSTRAND AV/KINGS HY,at stop
-73.94771,40.636286,FARRAGUT RD/NOSTRAND AV,at stop
-73.945105,40.617422,NOSTRAND AV/AV N,at stop
-73.947183,40.655786,NEW YORK AV/CLARKSON AV,at stop
-73.95004,40.655174,NOSTRAND AV/CLARKSON AV,at stop
-73.941944,40.600709,NOSTRAND AV/AV U,at stop
-73.947151,40.655521,NEW YORK AV/CLARKSON AV,approaching
-73.949775,40.652694,NOSTRAND AV/LINDEN BL,approaching
-73.942461,40.603436,NOSTRAND AV/AV T,approaching
-73.94549,40.639861,NEW YORK AV/AV D,approaching
-73.944211,40.612916,NOSTRAND AV/AV P,approaching
-73.949674,40.651748,NOSTRAND AV/CHURCH AV,< 1 stop away
-73.947899,40.635177,FARRAGUT RD/NOSTRAND AV,< 1 stop away
-73.950639,40.668398,NOSTRAND AV/CARROLL ST,< 1 stop away
-73.95062,40.685606,NOSTRAND AV/PUTNAM AV,< 1 stop away
-73.950265,40.657245,NOSTRAND AV/CLARKSON AV,< 1 stop away
